RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           15     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.264D+06  4.583D+05
    1    3     1     0  ---    1  1.8D-07  4.6D-01  5.063D+05  1.408D+05
    2    4     0     0  con    0  1.0D+00  1.3D-01  1.704D+05  7.266D+04
    3    5     0     0  con    0  1.0D+00  9.9D-02  9.344D+04  4.925D+04
    4    6     0     0  con    0  1.0D+00  1.6D-01  5.413D+04  2.912D+04
    5    7     0     0  con    0  1.0D+00  1.7D-01  3.170D+04  1.764D+04
    6    8     0     0  con    0  1.0D+00  2.0D-01  1.799D+04  1.068D+04
    7    9     0     0  con    0  1.0D+00  2.1D-01  1.018D+04  6.835D+03
    8   10     0     0  con    0  1.0D+00  2.2D-01  8.083D+03  4.801D+03
    9   11     0     0  con    0  1.0D+00  2.1D-01  7.973D+03  3.882D+03
   10   12     0     0  con    0  1.0D+00  1.5D-01  7.705D+03  3.540D+03
   11   13     0     0  con    0  1.0D+00  1.2D-01  7.504D+03  3.346D+03
   12   15     0     0  con    1  4.0D-01  1.5D-01  7.235D+02  2.686D+03
   13   16     0     0  con    0  1.0D+00  1.2D-01  5.841D+02  2.599D+03
   14   17     0     0  con    0  1.0D+00  9.9D-02  6.217D+02  2.565D+03
   15   18     0     0  con    0  1.0D+00  4.6D-02  2.951D+02  2.545D+03
   16   19     0     0  con    0  1.0D+00  5.9D-02  2.764D+02  2.531D+03
   17   20     0     0  con    0  1.0D+00  5.3D-02  2.849D+02  2.522D+03
   18   21     0     0  con    0  1.0D+00  1.2D-01  1.927D+02  2.506D+03
   19   23     0     0  con    1  5.0D-01  1.2D-01  2.719D+02  2.497D+03
   20   24     0     0  con    0  1.0D+00  1.1D-01  5.955D+01  2.489D+03
   21   25     0     0  con    0  1.0D+00  1.3D-02  1.686D+01  2.488D+03
   22   26     0     0  con    0  1.0D+00  7.3D-03  1.154D+01  2.488D+03
   23   27     0     0  con    0  1.0D+00  6.9D-03  1.517D+01  2.488D+03
   24   28     0     0  con    0  1.0D+00  4.9D-02  7.342D+01  2.488D+03
   25   29     0     0  con    0  1.0D+00  4.6D-02  6.764D+01  2.487D+03
   26   30     0     0  con    0  1.0D+00  7.1D-02  1.245D+02  2.486D+03
   27   31     0     0  con    0  1.0D+00  2.8D-01  1.757D+02  2.483D+03
   28   32     0     0  con    0  1.0D+00  4.1D-01  2.979D+02  2.478D+03
   29   33     0     0  con    0  1.0D+00  2.5D+00  4.802D+02  2.455D+03
   30   34     0     0  con    0  1.0D+00  4.0D+00  9.777D+02  2.422D+03
   31   35     0     0  con    0  1.0D+00  3.7D+00  6.940D+02  2.379D+03
   32   36     0     0  con    0  1.0D+00  2.9D+00  2.682D+02  2.336D+03
   33   37     0     0  con    0  1.0D+00  2.0D+00  1.721D+02  2.332D+03
   34   38     0     0  con    0  1.0D+00  4.7D-01  3.346D+01  2.329D+03
   35   39     0     0  con    0  1.0D+00  2.5D-01  8.591D+00  2.329D+03
   36   40     0     0  con    0  1.0D+00  2.3D-02  7.718D+00  2.329D+03
